ID,Category,Subject,Content,Used Count
1,Hook,Study abroad for $0 tuition (African students welcome),"Hi [First Name],

Across Africa - from Nairobi to Accra, from Lagos to Johannesburg - students face the same wall. You want a degree abroad, but the cost feels impossible.

What if Belgium could get you there - affordable tuition and a central location for European study?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Best regards,
Scholarship Assistant

P.S. If you don't want to wait for my next email, book your spot by filling this out: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
2,Hook,"Fully funded scholarships - DAAD, Chevening, CSC","Hi [First Name],

You've probably looked into studying abroad before. Maybe you got a rejection. Maybe you didn't know where to start. It's not your fault - the system is confusing.

What if Netherlands could get you there - moderate tuition with globally-ranked universities?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Cheers,
Scholarship Assistant

P.S. If you don't want to wait for my next email, start here - it takes 3 minutes: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
3,Hook,From Cape Town to Cairo - study abroad for free,"Hi [First Name],

I'll keep this short: the 2026/2027 intake deadlines are closer than they look.

What if Germany (DAAD) could get you there - full tuition, monthly stipend, and travel support?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Rooting for you,
Scholarship Assistant

P.S. If you don't want to wait for my next email, check if you qualify: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
4,Hook,Don't be left behind - study abroad in 2026,"Hi [First Name],

We've helped students from Nigeria, Ghana, Kenya, Cameroon, Senegal, and South Africa. Your country is next.

What if UK (Chevening) could get you there - full tuition, living costs, and a Master's at a top UK university?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Proudly African,
Scholarship Assistant

P.S. If you don't want to wait for my next email, claim your free eligibility check: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
5,Hook,Your GPA isn't the problem. Your strategy is.,"Hi [First Name],

Here's something nobody told you when you started researching study abroad options.

What if China (CSC) could get you there - 100% tuition, accommodation, health insurance, and a monthly stipend?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Best regards,
Scholarship Assistant

P.S. If you don't want to wait for my next email, take the next step now: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
6,Hook,A question about your 2026 study plans,"Hi [First Name],

Still thinking about studying abroad? Good - because there's a myth I want to clear up first.

What if Turkey (Turkiye Burslari) could get you there - tuition, accommodation, flights, and a monthly stipend?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Cheers,
Scholarship Assistant

P.S. If you don't want to wait for my next email, fill out our free 3-minute Pre-Qualification Form here: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
7,Hook,This might be your way abroad,"Hi [First Name],

The biggest barrier isn't your grades. It's not knowing which door to knock on.

What if EU (Erasmus Mundus) could get you there - tuition, travel, and a monthly allowance across multiple countries?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Rooting for you,
Scholarship Assistant

P.S. If you don't want to wait for my next email, reply YES and we'll send you the Pre-Qualification Form: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
8,Hook,Study abroad for $0 tuition (African students welcome),"Hi [First Name],

What if tuition was $0? And what if you got a monthly stipend on top of that?

What if Commonwealth could get you there - full funding for students from Commonwealth nations?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Proudly African,
Scholarship Assistant

P.S. If you don't want to wait for my next email, book your spot by filling this out: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
9,Hook,"Fully funded scholarships - DAAD, Chevening, CSC","Hi [First Name],

Most students give up on studying abroad after one rejection. That's exactly why most students never go.

What if Germany could get you there - zero tuition at public universities, just a small semester fee?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Best regards,
Scholarship Assistant

P.S. If you don't want to wait for my next email, start here - it takes 3 minutes: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
10,Hook,From Cape Town to Cairo - study abroad for free,"Hi [First Name],

I know the question on your mind: how do you know this isn't a scam?

What if France could get you there - as little as EUR2,000/year for a Master's at a public university?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Cheers,
Scholarship Assistant

P.S. If you don't want to wait for my next email, check if you qualify: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
11,Hook,Don't be left behind - study abroad in 2026,"Hi [First Name],

Across Africa - from Nairobi to Accra, from Lagos to Johannesburg - students face the same wall. You want a degree abroad, but the cost feels impossible.

What if Norway could get you there - zero tuition at public universities, even for international students?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Rooting for you,
Scholarship Assistant

P.S. If you don't want to wait for my next email, claim your free eligibility check: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
12,Hook,Your GPA isn't the problem. Your strategy is.,"Hi [First Name],

You've probably looked into studying abroad before. Maybe you got a rejection. Maybe you didn't know where to start. It's not your fault - the system is confusing.

What if Finland could get you there - low-cost degrees with a strong quality-of-life reputation?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Proudly African,
Scholarship Assistant

P.S. If you don't want to wait for my next email, take the next step now: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
13,Hook,A question about your 2026 study plans,"Hi [First Name],

I'll keep this short: the 2026/2027 intake deadlines are closer than they look.

What if Belgium could get you there - affordable tuition and a central location for European study?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Best regards,
Scholarship Assistant

P.S. If you don't want to wait for my next email, fill out our free 3-minute Pre-Qualification Form here: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
14,Hook,This might be your way abroad,"Hi [First Name],

We've helped students from Nigeria, Ghana, Kenya, Cameroon, Senegal, and South Africa. Your country is next.

What if Netherlands could get you there - moderate tuition with globally-ranked universities?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Cheers,
Scholarship Assistant

P.S. If you don't want to wait for my next email, reply YES and we'll send you the Pre-Qualification Form: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
15,Hook,Study abroad for $0 tuition (African students welcome),"Hi [First Name],

Here's something nobody told you when you started researching study abroad options.

What if Germany (DAAD) could get you there - full tuition, monthly stipend, and travel support?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Rooting for you,
Scholarship Assistant

P.S. If you don't want to wait for my next email, book your spot by filling this out: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
16,Hook,"Fully funded scholarships - DAAD, Chevening, CSC","Hi [First Name],

Still thinking about studying abroad? Good - because there's a myth I want to clear up first.

What if UK (Chevening) could get you there - full tuition, living costs, and a Master's at a top UK university?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Proudly African,
Scholarship Assistant

P.S. If you don't want to wait for my next email, start here - it takes 3 minutes: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
17,Hook,From Cape Town to Cairo - study abroad for free,"Hi [First Name],

The biggest barrier isn't your grades. It's not knowing which door to knock on.

What if China (CSC) could get you there - 100% tuition, accommodation, health insurance, and a monthly stipend?

More on that in my next email. For now - are you planning to apply for the 2026 intake?

Reply YES and I'll send you a quick 2-page guide either way.

Best regards,
Scholarship Assistant

P.S. If you don't want to wait for my next email, check if you qualify: https://docs.google.com/forms/d/e/1FAIpQLScCZFLY1scNHkzUx6X7NwMj3BGbc1YxbEi0kScherxe5oMnsA/viewform

To unsubscribe, reply with STOP.",1
